_id,imdb_url,aggregate_rating_score,popularity_score,release_date_us,country_of_origin,also_known_as,estimated_budget,opening_weekend_domestic_date,opening_weekend_domestic_gross,worldwide_gross,image_url_big
1000001,https://www.imdb.com/title/tt0100468/,4.0,,"April 21, 1990",United States,Surf Connection,,"Jun 3, 1990",8630,13136,"https://m.media-amazon.com/images/M/MV5BMDY1Y2YzMzMtMzAxNC00OTNjLWJiOWYtZGM0YWM4NTdmMTMxXkEyXkFqcGdeQXVyMTIzNTI5NTM1._V1_UY98_CR3,0,67,98_AL_.jpg@._V1_FMjpg_UX400_.jpg"
1000002,https://www.imdb.com/title/tt0099187/,4.4,,"October 3, 1990",United States,Edgar Allan Poe's Buried Alive,,,,,https://m.media-amazon.com/images/M/MV5BOTA2NjZkNWEtYzVmNy00MGJlLTkyMzYtZGU2NjAxNjAzNmUzXkEyXkFqcGdeQXVyMTA0MDM0ODY@._V1_FMjpg_UX400_.jpg
1000003,https://www.imdb.com/title/tt0097718/,4.4,,1990,United States,S.P. Somtow's the Laughing Dead,,,,,https://m.media-amazon.com/images/M/MV5BYzBjMjEyZjUtNWYyYi00ZTQ3LTlmM2ItMTM4NGNkZjZkY2YxXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_FMjpg_UX400_.jpg
1000004,https://www.imdb.com/title/tt0098332/,4.4,,"August 22, 1990",Philippines,"Silk 2 - Hart wie Seide, Sanft wie Stahl",,,,,https://m.media-amazon.com/images/M/MV5BODE1MGFjM2MtMGMzOS00MzI1LWFjOGMtZjk0NTJiMTU3MzIxL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_FMjpg_UX400_.jpg
1000005,https://www.imdb.com/title/tt0096919/,5.4,,1989,United States,За дверью сна,,,,,https://m.media-amazon.com/images/M/MV5BMTM3NTc1NjYzM15BMl5BanBnXkFtZTcwNjA4MjUzMQ@@._V1_FMjpg_UX400_.jpg
1000006,https://www.imdb.com/title/tt0097178/,3.2,,"September 20, 1990 (Portugal)",Italy,Wakan,,,,,https://m.media-amazon.com/images/M/MV5BZDcyYzgxYjktYjk0ZC00ZjcyLWEwYjEtNTJiMDZjNjJkOTJkXkEyXkFqcGdeQXVyNjM2NTM3ODA@._V1_FMjpg_UX400_.jpg
1000007,https://www.imdb.com/title/tt0112492/,4.1,,,United States,Goblins,,,,,https://m.media-amazon.com/images/M/MV5BOWJiNmFhMWUtZGMzMS00OGJiLTkxYmItNjg5N2ZkNWQyY2M2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX400_.jpg
1000008,https://www.imdb.com/title/tt0098127/,2.6,,,United States,,,,,,https://m.media-amazon.com/images/M/MV5BMTM5Njc3MDYwM15BMl5BanBnXkFtZTcwNjI1NTUxMQ@@._V1_FMjpg_UX400_.jpg
1000009,https://www.imdb.com/title/tt0098125/,5.4,,1989,United States,Tödliches Trauma,,,,,https://m.media-amazon.com/images/M/MV5BNzExNDEwMGItNWZjYS00ZjhmLWI3MGQtOWM3ZTg0NDg5Yjc4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_FMjpg_UX400_.jpg
1000010,https://www.imdb.com/title/tt0106698/,4.0,,1989,United States,Demon Possessed,,,,,https://m.media-amazon.com/images/M/MV5BMTdkZmMwNmYtOWRmYS00ZDcxLWFlYzgtODc2YjIyZWI4OTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX400_.jpg
1000011,https://www.imdb.com/title/tt0097059/,3.7,,"March 11, 1992",United States,Escalofrio,,,,,https://m.media-amazon.com/images/M/MV5BYjU3NjNmODMtNDBjOC00ZGQxLTg4ZGItMmY4ODFmMjk4MzUxXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_FMjpg_UX400_.jpg
1000012,https://www.imdb.com/title/tt0152419/,4.1,,"March 14, 1990",United States,Sexy Platoon,,,,,https://m.media-amazon.com/images/M/MV5BMmE3YmI4MDAtMDg1Yy00NWI2LThhM2EtOTYzMmJjYTk3OGU5XkEyXkFqcGdeQXVyMTA0MDM0ODY@._V1_FMjpg_UX400_.jpg
1000013,https://www.imdb.com/title/tt0264629/,3.9,,1989,United States,Game of Survival,,,,,https://m.media-amazon.com/images/M/MV5BNzQ3NDYyNzEwMl5BMl5BanBnXkFtZTcwOTU1NjQxOA@@._V1_FMjpg_UX400_.jpg
1000014,https://www.imdb.com/title/tt0210988/,3.0,,"April 29, 1994 (Hungary)",United States,Slashdance,,,,,https://m.media-amazon.com/images/M/MV5BMTFlNWY3N2MtMWUzNC00NDg4LThmOGItNDY0YmJhY2E5YzI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX400_.jpg
1000015,https://www.imdb.com/title/tt0242686/,3.5,,,United States,Mind Trap,,,,,https://m.media-amazon.com/images/M/MV5BMjAxYzcyNWEtMTVhNy00YzE0LTk3MWQtYjA4ZGU2MWVmMDIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX400_.jpg
1000016,https://www.imdb.com/title/tt0199292/,6.8,,,United States,,,,,,https://m.media-amazon.com/images/M/MV5BMjA4MDM4NDQ0NV5BMl5BanBnXkFtZTcwMzI3NTAyMQ@@._V1_FMjpg_UX400_.jpg
