_id,imdb_url,aggregate_rating_score,popularity_score,release_date_us,country_of_origin,also_known_as,estimated_budget,opening_weekend_domestic_date,opening_weekend_domestic_gross,worldwide_gross,image_url_big
1000001,https://www.imdb.com/title/tt0187251/,4.1,,"December 31, 1999",United States,I'm Still Waiting for You,,,,,https://m.media-amazon.com/images/M/MV5BYmU5OGUxYjgtNjg4Zi00ZDdkLWIzZWMtZmU1NDM3MWY0YmEzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX400_.jpg
1000002,https://www.imdb.com/title/tt0195630/,4.8,,1999 (United Kingdom),Canada,Silencio total,CA1900000,,,,https://m.media-amazon.com/images/M/MV5BMTM5MDE1MDU5M15BMl5BanBnXkFtZTgwODQyOTk1MDE@._V1_FMjpg_UX400_.jpg
1000003,https://www.imdb.com/title/tt0225339/,4.4,,1999,United States,Carnal Desire,,,,,https://m.media-amazon.com/images/M/MV5BMTY3ODkxMDQyM15BMl5BanBnXkFtZTcwNTE0OTgyMQ@@._V1_FMjpg_UX400_.jpg
1000004,https://www.imdb.com/title/tt0197922/,5.3,,1999,United States,Striptizci Karılar,,,,,https://m.media-amazon.com/images/M/MV5BZDM1NzdkNWEtNjFhNC00YjM2LWE0OGYtYTJlN2VkMjM0MzkxXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_FMjpg_UX400_.jpg
1000005,https://www.imdb.com/title/tt0214299/,4.9,,"June 6, 2003 (United Kingdom)",United States,Red de seducción,,,,,https://m.media-amazon.com/images/M/MV5BZGQ2Nzk3MzctMzdkNC00NTdmLWE1NTctNDI2MmRiOTc5YzU3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_FMjpg_UX400_.jpg
1000006,https://www.imdb.com/title/tt0282186/,4.5,,1999,United States,,,,,,https://m.media-amazon.com/images/M/MV5BMTI1ODUwNDg3NV5BMl5BanBnXkFtZTcwMDk1MTQyMQ@@._V1_FMjpg_UX400_.jpg
1000007,https://www.imdb.com/title/tt0218599/,3.8,,,United States,Keys of Passion,,,,,https://m.media-amazon.com/images/M/MV5BMzkwYjIzZGMtZWFiYi00OTBhLWE4NmEtYTc3ZDVjYzcwMzgzXkEyXkFqcGdeQXVyOTU5MDg2OQ@@._V1_FMjpg_UX400_.jpg
1000008,https://www.imdb.com/title/tt0209320/,5.0,,1999,United States,Obsesión de pecado,,,,,https://m.media-amazon.com/images/M/MV5BOThjNzcyMDctNzM5Yy00ODk3LWFmMjAtZjY0MDYwOGYyMzkzXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_FMjpg_UX400_.jpg
1000009,https://www.imdb.com/title/tt0191911/,4.1,,1999,United States,Kontrakt,,,,,https://m.media-amazon.com/images/M/MV5BNmNjNTMyNjUtZWEyNy00YTg3LTllYzktZmRjM2JlMTBlYjEzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_FMjpg_UX400_.jpg
1000010,https://www.imdb.com/title/tt0217334/,5.0,,,United States,Daisy in Disguise,,,,,https://m.media-amazon.com/images/M/MV5BMzIxYzdhZjItYThjZi00YWNjLWFlNTctMmU5N2E4MjhiYWU4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_FMjpg_UX400_.jpg
