_id,imdb_url,aggregate_rating_score,popularity_score,release_date_us,country_of_origin,also_known_as,estimated_budget,opening_weekend_domestic_date,opening_weekend_domestic_gross,worldwide_gross,image_url_big
1000001,https://www.imdb.com/title/tt0079855/?ref_=adv_li_tt,4.5,,1979,United States,The Killer Behind the Mask,,,,,https://m.media-amazon.com/images/M/MV5BNDgxZmNmNjQtODU5NS00ZWRiLWEyOGItMTgwYzczMThhMjliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX400_.jpg
1000002,https://www.imdb.com/title/tt0079300/?ref_=adv_li_tt,3.6,,,United States,The Hollywood Strangler,,,,,https://m.media-amazon.com/images/M/MV5BMjA1ODE2OTcxN15BMl5BanBnXkFtZTcwNjQ3MzYyMQ@@._V1_FMjpg_UX400_.jpg
1000003,https://www.imdb.com/title/tt4970598/?ref_=adv_li_tt,4.7,,1979,United States,Punk Rock!,,,,,https://m.media-amazon.com/images/M/MV5BZDVhYmU4NjAtM2Q0Mi00MTU3LWEwOWQtYWZkYzRmZDY3ODVmXkEyXkFqcGdeQXVyNDI4MDg1NzY@._V1_FMjpg_UX400_.jpg
1000004,https://www.imdb.com/title/tt0088896/?ref_=adv_li_tt,2.3,,1985,United States,Un cierto sacrificio,20000,,,,https://m.media-amazon.com/images/M/MV5BOGJhM2ZkMWMtNzVkYS00NWFlLTk1ZWUtMmQ1YTllYmI4Y2E5XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX400_.jpg
1000005,https://www.imdb.com/title/tt11383980/?ref_=adv_li_tt,4.7,,1979,United States,,,,,,https://m.media-amazon.com/images/M/MV5BNTc5M2JiMmItZGM5Ny00NTUxLWI2NDAtOWJlMDViZGQzZDE3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX400_.jpg
1000006,https://www.imdb.com/title/tt0079031/?ref_=adv_li_tt,4.3,,1979,Mexico,Der Tag der Mörder,,,,,https://m.media-amazon.com/images/M/MV5BMDJhZjZmNjktN2Q2MS00M2Q5LTgwODctNjNhZDIxM2U0NGMxXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_FMjpg_UX400_.jpg
1000007,https://www.imdb.com/title/tt0260482/?ref_=adv_li_tt,4.7,,,United States,Up Your Ladder,,,,,https://m.media-amazon.com/images/M/MV5BMTYxODQ3NzYxNV5BMl5BanBnXkFtZTcwNTM1NDQzMw@@._V1_FMjpg_UX400_.jpg
1000008,https://www.imdb.com/title/tt0279016/?ref_=adv_li_tt,5.5,,,United States,Buzzard,,,,,https://m.media-amazon.com/images/M/MV5BZjA0MjAwOTUtNDkzMC00OTA1LWJhMjgtMzA0MGE3MmM5OTY5XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_FMjpg_UX400_.jpg
1000009,https://www.imdb.com/title/tt10951700/?ref_=adv_li_tt,7.8,,1979,United States,Divlji zapad,,,,,https://m.media-amazon.com/images/M/MV5BZWFjMTcwMGYtM2NlYi00YmE0LTk4ZjgtMTVjZmYxNDA3NGVmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_FMjpg_UX400_.jpg
1000010,https://www.imdb.com/title/tt1060254/?ref_=adv_li_tt,6.1,,,United States,,,,,,https://m.media-amazon.com/images/M/MV5BNDIzNDI4NjQ1OV5BMl5BanBnXkFtZTcwMDE1OTM1MQ@@._V1_FMjpg_UX400_.jpg
1000011,https://www.imdb.com/title/tt0100026/?ref_=adv_li_tt,5.2,,"April 8, 1991 (Germany)",United States,"Isabel, la negra",,,,,https://m.media-amazon.com/images/M/MV5BMTc4MzczNTk5OF5BMl5BanBnXkFtZTcwNzAxNjMyMQ@@._V1_FMjpg_UX400_.jpg
1000012,https://www.imdb.com/title/tt0079541/?ref_=adv_li_tt,3.3,,1979,United States,Blood Theatre,,,,,https://m.media-amazon.com/images/M/MV5BZGEwMzE4OTgtMjcyMC00ODE0LWFjM2YtYjQzMzRlMWJmZDMyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_FMjpg_UX400_.jpg
1000013,https://www.imdb.com/title/tt0321458/?ref_=adv_li_tt,6.7,,,United States,Naked in My Grave,,,,,https://m.media-amazon.com/images/M/MV5BOTA5NjFhNDctOWQwYy00YzgzLTk3MmYtZmUxMzExYmUxMDQxXkEyXkFqcGdeQXVyNTQ5OTQ5MjY@._V1_FMjpg_UX400_.jpg
1000014,https://www.imdb.com/title/tt0376868/?ref_=adv_li_tt,3.0,,1979,United States,Savage water,,,,,https://m.media-amazon.com/images/M/MV5BZWJiZjY3NjMtZDgxZi00NTcyLTlhMTktMzQ5YWVmMjk4YzVjXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_FMjpg_UX400_.jpg
1000015,https://www.imdb.com/title/tt0135674/?ref_=adv_li_tt,5.0,,,United States,,,,,,https://m.media-amazon.com/images/M/MV5BNmNkYWU2MmUtMDgwYi00NDM0LTlmZTUtZTIxYTEzNTU5YWM4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_FMjpg_UX400_.jpg
1000016,https://www.imdb.com/title/tt0078837/?ref_=adv_li_tt,7.2,,,United States,,,,,,https://m.media-amazon.com/images/M/MV5BZWJiMWY4MzctNGQ0Yi00N2UzLWI5ZGYtM2FlNzRlZDQwZTc5XkEyXkFqcGdeQXVyODM4OTc4NTk@._V1_FMjpg_UX400_.jpg
1000017,https://www.imdb.com/title/tt2641252/?ref_=adv_li_tt,9.7,,"October 30, 1974",United States,Ο Τουίτ και οι κυρίες απ' την Πασαντίνα,,,,,https://m.media-amazon.com/images/M/MV5BODYxMzllNDQtYmExYi00NmU4LWJjNGMtMzY5MTk1MTM2NTc2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_FMjpg_UX400_.jpg
1000018,https://www.imdb.com/title/tt0382799/?ref_=adv_li_tt,5.7,,,United States,Góra Czarnego Pioruna,,,,,https://m.media-amazon.com/images/M/MV5BMWY1OWFkNGQtMWFlZC00YzAyLWFkZmMtOGUzNzg1NzlmYTgzXkEyXkFqcGdeQXVyODEwNDQ0Mzc@._V1_FMjpg_UX400_.jpg
1000019,https://www.imdb.com/title/tt6901596/?ref_=adv_li_tt,5.4,,1979,United States,,,,,,https://m.media-amazon.com/images/M/MV5BNTY3YTEwNjYtZDI3MS00ZjA4LTgwODctNjM1ZGNlYTNhZmU3XkEyXkFqcGdeQXVyODM4OTc4NTk@._V1_FMjpg_UX400_.jpg
1000020,https://www.imdb.com/title/tt0080065/?ref_=adv_li_tt,4.4,,,United States,Der Rächer,,,,,https://m.media-amazon.com/images/M/MV5BYThkN2MzMzUtNmQ1MS00ZGVkLWI0ZjgtM2RlN2YzNjQ3ZjM0XkEyXkFqcGdeQXVyODgzODEzMzQ@._V1_FMjpg_UX400_.jpg
